상품명,가격,url
나이키 주니어 농구화 키즈 조던 아동 초등학생 팀허슬 코트 배드민턴 운동화 GS 여성,"48,900원",https://cr.shopping.naver.com/adcr?x=XuOslII6I29%2FGMqgaz%2FbcP%2F%2F%2Fw%3D%3DsfhTwlXmltaBzjvzxBGd99rIaMQ6HJS9eJatSjMM58CNSiI%2FBjfMI9uWTKe765FvFuzyq3GKr4ZQOvt%2FH4wcdT2g6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUhbvUyYX6DvrYcLa3Ia72XU%2BgnWsNqrGs96Z%2B2kjBFJ1VwwIvf7msfWS2zOr5V%2BCjRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY78i%2BOT0L5QDkW%2FfAw1OgTIWqkGTJ4pQVBQmqLoPC7JKwlIoSvKTA%2Ffvxn7nqCVPzyk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdBhf9kzSQJ%2FVBR2E30a8Hnpm7H1tegsWMx%2Fc4wb53kM0mKTFDR4VAPLAvMSoxFS96ax7BvIlcNJjS5ojv8ygi8IMbUS1mlwC6LAbtVfqANFy6MnwxVy7F1H6h%2BannNsuZxypDqE52WaWcPuMwBL1pbh80%2F53Y9wuNxTklpIowoY2PwFASE4%2BCmr3IZ0BqUbbVBokrDNLbpe8yvi2HqkaZUck%2FFEet%2Burwg4p1bGiF4F5YxLvPhu03bpuIQY01DBhHNjVfBokSnaZcogly3pG%2BE55RFFb2N2sjgT95MoWpm6wKYTOF5KsHq%2BigGAc1pAeZ6t0gQ7WTZ5j9xahMMxtBACW3U7tv%2BDpdy21XBQYdd2DRZNkw%2FzX%2B3nVO0ykPxbAimhopkeKUdu5q4dSKA0zkoA%3D&nvMid=87186229492&catId=50001438
[국내매장판] 나이키 조던 맥스 아우라 2 블랙 주니어 농구화 CN8094-006 CN8094-102,"58,000원",https://cr.shopping.naver.com/adcr?x=FWYFWghWRDD3tUQWFLtuQf%2F%2F%2Fw%3D%3Ds0ypi3hbk5enmKoLq9vL%2FyXkpRhf3rxK4fj4kNudeGMpGvCJ5VDo0OkZfWBPRmILmLY9JPlLTwSsAyK7iqsUHcsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojfSkH8EJfjm%2FbIkH7DyOSM0GoxfJ%2FiY%2FbuBhB3z6NwJHu67XFC5nh0ACE45Gmr5liyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF3ae8XV3veAcC1tnl1r8qVrZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FSWd7bjyt%2BFP7Z8dUUvJawOKl%2BsLP671s%2FnH5uAce2OH6WeZGNkZYbW5x1irENPzDGfQ7HfTu4J6D2oyvNUZ6%2FWMHn7BDBNaqXNmoKbAeTMv01uJnEHjhE4cGAtV57F%2BkUSL9gvCoCr6QIuQWtrcaABHsUOkEEWbZgjJxMHgn7XuZWM1dPqoqtJ7xxX4Zq6L2jZ%2BKdbBKfUaQSQQ3Z2OYM2R1RtVCb1WTB4oKpWgoGy%2B4mufDjTGZnWJJlJnCAJ5iIASu0VnZc0cnI74bBeYj8nFBgP%2BgmA%2Fv92724B9%2Bsu0rBr0mWZyQNskAlQQa9x8QWoe9ieT0ujo9fPE6un4lXPckgIOEWzbD5i4iF0RdFH8WPT3Lk%2B7bejyidcZqMNE%2FEHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=88901069701&catId=50001438
나이키 야니스 이모탈리티 4 EP(FQ3681-101),"79,000원",https://cr.shopping.naver.com/adcr?x=Jy791dQ23RBelosJJ2DfvP%2F%2F%2Fw%3D%3Dsr%2FXJgzQ70HC0f537Cgb3XbWsQxhn3w3QZXV8y0b3z5PlCm6x%2BgQhd%2BxdDLc%2FHjPb8U4zQEzB2S8xOS9H9Kx0sTXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVv7H%2Fssv%2FD%2FXEyDsrAsA75RqKdIADkSihBclolExeOqzNzH8Jb1CLn6uK8NM4roKohNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpWVqsd06Ad7xCoESPg4NjLfaIA0fHNTZTj2Cz6cCvkvfEnzOhRYj4Vpyh7LWp6ostBVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv%2FF8N%2BU94FRlg0VRyHo6kvvBn%2F%2Fxp2BWv2pVjNCJ%2BleSYUYkjdRhQocJePamb%2Fq88ZNm1phcIcvPFN5kTyPHu%2F5uCX7qfKw3uLKVJPL7EEChcs2AoKpDSN8T9WbP1F9a5%2FQh%2B%2FvP74%2BA6SPFFX%2FrD%2F8vzG1n7hbRAjhTc8tcF6Gon3%2BPZ6Jg5ySPcpztGXHvH49DfbrShYKC5BXzqP7uIN3xsFngpCMyjKFSr1V2kZ%2B9HcEuPBFwFMu%2FBGh5gX1kRR%2Bhf%2F7%2BHJuRsTFAMeZmIELpF2yBBNLDUnBKRkUwdpaBvSyAdtmPFIKV4XVcMoDXEwau4fTwOUqyF63FjwpQRls%3D&nvMid=86506888954&catId=50001438
[국내매장판] 나이키 농구화 농민화 조던 맥스 아우라 2 화이트 짐레드 CK6636 102,"83,000원",https://cr.shopping.naver.com/adcr?x=6cX7AonHkvFIL1C6RRfBtv%2F%2F%2Fw%3D%3Ds2Evcf4Q7BNeuOaW52Gc11%2FwiacJJMd9YWO%2B5tjTPZnNSiI%2FBjfMI9uWTKe765FvFiyY0mj83yreRmcrtKtK6m2g6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUhbvUyYX6DvrYcLa3Ia72XU%2BgnWsNqrGs96Z%2B2kjBFJ1VwwIvf7msfWS2zOr5V%2BCjRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY4TLxBxcSok3TrI5ExQbz0ZQ1pu9SxBx9jmyq0tgSOnxCGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSemKxqdn08O%2FdjFVZRWZCDmr0i1sET%2F53QesdtdeZYWtfQS44EW6Is%2BkRQBNsm4Gxv%2BWK0dUFuPtMfYW1wO7GFtMJdEzXKZAsTRuKaylQdda28tyIGs2Qp6g6ONKcCaj8ncT1XcTI2j%2FWt25Q5Ys9l%2F7M2xUcB1jb1cWkitIzA3VqC0qtiJFIFeKlCmPTAKt%2FVEif0QWgHl8uIBNebABT7FUG6lZMwpFv%2F%2FrWw85A%2FfJYzkWQ%2Fit8bfMLdkB9yaHRcK6mifz6YXQom1qPQmKfOrSyXVqGvD6FSdfxusos%2F8aX65%2Bwk68dwGKDYuEolNIQ21UOBdN9U2VtpJjrWB%2BoC3CD7ocK4JviTqMt3CUwlKFWYFx8Zt3N1gkRM4V7K6KABgau4fTwOUqyF63FjwpQRls%3D&nvMid=88336423891&catId=50001438
국내발송 나이키 자모란트 JA3 EP -맥스 볼륨 자3 농구화 HF2794-600,"165,000원",https://cr.shopping.naver.com/adcr?x=RV8wUwhRC9YAXpYhKM%2FhB%2F%2F%2F%2Fw%3D%3DsySAFRMEk0MlsWyTSKkCaqVyHJyBZrO5TPb67dmmDFQxGvCJ5VDo0OkZfWBPRmILmaqM0WGOe6nWCI8%2B6vfj%2BzMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojfSkH8EJfjm%2FbIkH7DyOSM0GoxfJ%2FiY%2FbuBhB3z6NwJHu67XFC5nh0ACE45Gmr5liyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1tuHELLE6KrP02y%2B4FUTBMZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FfQf6lrGN6PS57HcBxhHvvHBxMQTDJSfwMU603Xb%2B58V3cjQrMzneG21QgpXFgvQyQ%2B839xH%2BH7fax5iYZ4%2Bb1np%2BWgLGvZiZkHmgOfnw6DoNyPB4NiFpilZS2y3WxJ496nIqta74k%2FZMbqA6xameoreFkYu4QFEPDN2FnOs%2FQUqvAqvrM6YNOkLel3IfnW51mfcBchMYqJCl6IpE1L1555Y%2B5L5VeMPYgPW3fWIDy4va%2BFViLjNp%2FFiADU3QSAB608AehojS9Fh%2FapOOxtjTeTkTSKEsM7aV5KGncmScb6WaZl5QUVb60Rs4eOgLBZLU41eXJvCC%2BYflM%2BD9fXWeLZvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=89885900089&catId=50001438
[국내매장판] 나이키 조던 맥스 아우라 2 GS 주니어 농구화 CN8094 006 102,"64,000원",https://cr.shopping.naver.com/adcr?x=%2FHjTvf5bxDX%2BrJnLFQUpmv%2F%2F%2Fw%3D%3Dst9JRZi21V08eUlSBFRPks4JreraXdA6kkuACfinq7E5GvCJ5VDo0OkZfWBPRmILmqRMmZghYRajrA79sAdi38cKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojfSkH8EJfjm%2FbIkH7DyOSM0GoxfJ%2FiY%2FbuBhB3z6NwJHu67XFC5nh0ACE45Gmr5liyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF010UmB1qJNf90PDpqQXGdpZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FUxgst%2BgMIJJZ7Xl79wk1d53eGX6a8AOCDTUXE9uLZdP6WeZGNkZYbW5x1irENPzDOMMwTiiF3TNQlpyDftDtg2MHn7BDBNaqXNmoKbAeTMv01uJnEHjhE4cGAtV57F%2BkUSL9gvCoCr6QIuQWtrcaABHsUOkEEWbZgjJxMHgn7XuuEz1yAyNWLF3hPG2hub3CbUiu08Ssz1v1ulRdI040obQmsFZbxFPDth63rzLfsfpZJEc6%2BlNRGaCi2xy6xppyBg73OHIJ1Nxc0TbVLKryWZrWNLxRrWHCJoudYzHCivGinw7TJez%2FyBnP4cfEAVLtmZ1%2BW%2FIeA4c6zl%2FbGLXrzItlIMFUnSTcGnMAabYu6ATy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=88523365172&catId=50001438
나이키 사브리나 3 EP 블루프린트 농구화 HF2882-400,"159,000원",https://cr.shopping.naver.com/adcr?x=6FoKGogPxN2MlenQCFnngf%2F%2F%2Fw%3D%3DsYG0onGAwCjek9scoJ6%2Bq03C6TlabKXbY5gyCX%2Bw0qSjlCm6x%2BgQhd%2BxdDLc%2FHjPb%2BYMxza0BrKZhQC3Ft7blGjXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVv7H%2Fssv%2FD%2FXEyDsrAsA75RqKdIADkSihBclolExeOqzNzH8Jb1CLn6uK8NM4roKohNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpW%2BkKie72EFKnCbPU%2BRhv7d0DqYPA%2BQ1A4VoPm5qGA0W8Q6rdokiZlnBZhVWbnuXZrDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqr1X%2BrN2glh2IN5FlhOrPx3EjoZIPvCG3gHJpj2GuiESfF%2FpXGvkEo3dFOSf0iOLBgXuzvVntyk%2Bt4U%2BSEe0KgKkJeeZ%2Fgds%2F%2FgOmsQgjHzDkhT4r9U%2B2rGUKXg4RInuPzfLGU5vTA%2F6U34H7lnGvW3oOPDeQ%2BmOvbm0zrKsdyMWx5ZNmVkFUZiYUtGXke1WG8rsR%2Flj60xymU8GgRzoI4j1JNX4m5p7YzCKw6njEI%2FEl%2Fm3miAciHozboQyaBmH8n3qYBaNHwS%2BmwVmehZcH9Q54psgtgYGTKf2yjzk46YnQn18Z05TQpwRjGArwOBEHDocllCCMjxVKVs7VHzzMnYNUJgJp6CUXauCvW7Y5AjN&nvMid=89861479831&catId=50001438
국내매장 나이키 코리아 르브론 NXXT 제니서스 EP 남자 농구화 HF0711-300,"58,500원",https://cr.shopping.naver.com/adcr?x=BwWUEoAmiVn6FcpWyCqpAf%2F%2F%2Fw%3D%3DsKg5ZxGICfmrISmW7ObwN214KQYrP9wbdYaeZbku6WSBGvCJ5VDo0OkZfWBPRmILm%2BrrjkSEGRqCyKI9NXPKqksKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojfSkH8EJfjm%2FbIkH7DyOSM0GoxfJ%2FiY%2FbuBhB3z6NwJHu67XFC5nh0ACE45Gmr5liyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2qqvkPvAhSBG6157Xq0LGkZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FXfcX3Fuq1qNsx8uqeAP%2FiwQpXYPX9MPIAMPLMK74meZ6WeZGNkZYbW5x1irENPzDD9VQDpH%2Fg8m7FFxCN37ziWMHn7BDBNaqXNmoKbAeTMv%2Bs3ijxd0Vy1siXxzSNWzIpB0fs2jOGJ90Ztm1UWHxi31%2FpPBBtwlo4DZ74plcHeeaL0Pqzzwn%2FTNNL621alOhNZEKhXzigKB5d0x6uziP9efe4Ag0PY5d%2F3dZtXWrHOsvSdvpVR0yWAoGZcoclgjX1ihRhehuUWsWGTr%2B3agLnNrWNLxRrWHCJoudYzHCivGigwsae%2BTETD4eXwsLrVtUqg9UmoybnYFyi7DXrD2wPoUSTDMA9dWn0Z1SLetbEkpy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=89445998860&catId=50001438
[국내매장판] 나이키 농구화 에어 조던 엑세스 브레드 검빨 블랙 화이트 AR3762 006,"79,000원",https://cr.shopping.naver.com/adcr?x=OhiTY4UeGNk3kwZrBoy41P%2F%2F%2Fw%3D%3DsTSDcT5bQUJwNnylsg8ZYY8j4GI1EFcFWSzqF%2BgdjwNZGvCJ5VDo0OkZfWBPRmILmKIqfwNBnDbWAtbp83I4DvsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojfSkH8EJfjm%2FbIkH7DyOSM0GoxfJ%2FiY%2FbuBhB3z6NwJHu67XFC5nh0ACE45Gmr5liyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF3zBkvsujLHQKYQ0Zs%2FrgrxQYqMhmHNSJbnCrgS7j8UhxKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyAFTcwiLWkvYD%2B2a4uvSd9cqikVwLA%2BgKDAFmWRfxij33cjQrMzneG21QgpXFgvQyZWFAvSUhheIty4jAfUT3DAVlyFDCq%2BZVFE5vJHx3cUBLHUg81cJfVGiu57%2B2YR64jNHqeRyOS68tpt3GEUQJIzRRdPOKhe9j%2FugZIeBDxXrcPJnCl%2F%2FYYigJKt7vNWIdjF9Y3Ul6RpCdPdKrP2GbX9RCkg%2FPMUAbJSI62pMgooRBftNGsV%2BMIQpU%2BISCRecRr4VkY5N%2B8m1VpnnmAd12r9zXizte9VgOxUqLsC7ynYdD%2B1GzYyCQAVsDO6ulMSblg3aeMdXwY179PtKHjwRc3C41RVD0YF1565UbOigw4tfW6LdIv3Lvpurk5IUR%2FLykYKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=85909540034&catId=50001438
(국내 매장판) 나이키 야니스 이모탈리티 3 EP DZ7534-100,"61,000원",https://cr.shopping.naver.com/adcr?x=MGM1PUfLvMGhfBnKihE0kP%2F%2F%2Fw%3D%3DsFaMTNx1hUf5zJxcE7PCJUjeMhWGSecVox%2FbzENmPHmflCm6x%2BgQhd%2BxdDLc%2FHjPbEfTVTkMH0kgzLd9TwPg78DXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVv7H%2Fssv%2FD%2FXEyDsrAsA75RqKdIADkSihBclolExeOqzNzH8Jb1CLn6uK8NM4roKohNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpULt7p0hqqBPrL8QWqf2G%2FbxO%2FNKtzE2p%2Bw3UkDVcRebcQ6rdokiZlnBZhVWbnuXZrDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqiajejlSQ06DOcj%2FpmWw6ryw3%2FNSbTpxz0Vy1%2BXCg61YfF%2FpXGvkEo3dFOSf0iOLBvXNNu5f6qPNJAvWJiyqrQn23KEnkvm%2F8smOAotQnaruPdw2r3K5Kk979znBg7gnXBzrM0r6tNx5ZcYHgIZu0HEVJ17UK9r8mfB0tJDQPVVxmxqVZuwkycfeKV2JyjIdaZA7WdMHMW8zIe80LdpA104ItxgwL2EzM9FHih%2FTGYITM%2Ff5u%2FHz65cTS8TAZX78XXR9INs9ZpxiOekV5%2FkbMXHagqoLqFTlJ67sIvUDxoCa2xQcXGNYMhGJIDJP3jKNPNU12bGdyvLhgivL7PJ5IK2FbDf4gHI5rSMJU1BWcIOg&nvMid=88310405485&catId=50001438
