상품명,가격,url
나이키 주니어 농구화 키즈 조던 아동 초등학생 팀허슬 코트 배드민턴 운동화 GS 여성,"48,900원",https://cr.shopping.naver.com/adcr?x=PTp5XPgM42X6RYkgsEbpi%2F%2F%2F%2Fw%3D%3Ds4LFHxaqQsNd2TCZdTDENesFSo8y%2FLOSQuLdPyk4jeQHlCm6x%2BgQhd%2BxdDLc%2FHjPb3w5lyZpQQusL%2FoAYyTGiTDXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVuG1G%2BhRrF3GrJewYvSwBm7dqwa7oZuQ9oKxVpaD7hA6Rc6cnxzBJjCo2wG1gChi0hNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpXSbaCb%2FMwMz%2F3E7X8qZQYThfQYvDkTv93OgtvucghS60nzOhRYj4Vpyh7LWp6ostBVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv4vGM0A%2Fh7wnoeXtcFZcOhopCcINF8ReuUf%2F8BmAbLrlYUYkjdRhQocJePamb%2Fq88VTqKGOKPquG5D9me2juBqiy%2Fg%2B%2FSRal1BwobMCCgGuXqPQ2WfA9QX8GvU3RXycKjRzOWPT8iFSC29tlM4GjjjpLNw4ID1CLc6g3IZlxsCsXhXh3jBCNHh0f0soMfctc9A22SR8CCrfgJ%2F4nPJPnl8FokLmZK1ThAD5ZGqjhys1BaAIhVhpjbIr34oIAdAHLwehuR5%2F9tZic2KoM3FC78b4AR2XZAp11KU6GjvQENPF%2BCBZKu0od%2FV4P4aeQOPR2r4IS%2F0dJokXtJxtM%2FY9Zqn748LPNPfaKtsTyIMX%2F%2FXNPQLPWn48vI0AvgAlxAnZ%2F0AN%2BQsjK6V0FLd%2Fybx7qcubNSE3OzZUT76KyqzckASmm&nvMid=87186229492&catId=50001438
[국내매장판] 나이키 조던 맥스 아우라 2 블랙 주니어 농구화 CN8094-006 CN8094-102,"58,000원",https://cr.shopping.naver.com/adcr?x=CM60LT2r16tHjcL%2FdmqqHv%2F%2F%2Fw%3D%3Ds6BtYDduP4IsgI1N%2FIaPCvXkpRhf3rxK4fj4kNudeGMpGvCJ5VDo0OkZfWBPRmILmKpmhM5BtZ6l%2BNv0SseU6AcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmPiDyyV4X9O0QNdDJymink8BmcBQT%2Bdma3UX%2BNmiGYbPZsh2scoMUE6fd%2Bg9jZiQyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF3ae8XV3veAcC1tnl1r8qVrZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2Fd3bmvpRs2EJKBNwDj%2BMFdKKl%2BsLP671s%2FnH5uAce2OH6WeZGNkZYbW5x1irENPzDGfQ7HfTu4J6D2oyvNUZ6%2FWMHn7BDBNaqXNmoKbAeTMv01uJnEHjhE4cGAtV57F%2BkUSL9gvCoCr6QIuQWtrcaABHsUOkEEWbZgjJxMHgn7XuZWM1dPqoqtJ7xxX4Zq6L2jZ%2BKdbBKfUaQSQQ3Z2OYM2R1RtVCb1WTB4oKpWgoGy%2B4mufDjTGZnWJJlJnCAJ5iIASu0VnZc0cnI74bBeYj8nFBgP%2BgmA%2Fv92724B9%2Bsu0rBr0mWZyQNskAlQQa9x8QWoe9ieT0ujo9fPE6un4lXPckgIOEWzbD5i4iF0RdFH8WPT3Lk%2B7bejyidcZqMNE%2FEHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=88901069701&catId=50001438
나이키 야니스 이모탈리티 4 EP(FQ3681-101),"79,000원",https://cr.shopping.naver.com/adcr?x=zjBPAgm63dMxkGsw76mqVP%2F%2F%2Fw%3D%3DsmLr1368xgm8Qbyb23yAFFyH90%2Fob9DlAfRf9e8QBxbVGvCJ5VDo0OkZfWBPRmILmdX%2Ff961INzrle%2B%2FT5Y2quMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmPiDyyV4X9O0QNdDJymink8BmcBQT%2Bdma3UX%2BNmiGYbPZsh2scoMUE6fd%2Bg9jZiQyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF0SJcAn8BFN%2BbgS5bQWhd5eQYqMhmHNSJbnCrgS7j8UhxKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyH6h9eUROsCckispc%2Bs3vFonm3fJKf%2Ffs%2F33cbVxWlQE3cjQrMzneG21QgpXFgvQyRpR0hwrbBa6jAR8V1KGiN5EVp0igryvMeq7nwyxkaknnAAlf%2BBsF65TdWz5oCEmpRdq2pSRAzkco3fD7DGCzrLw6hU2Y1rdJzl9b5UL6E83YsOXhFuK1TX25jTuVxCmXRYbuJ20U%2BdP%2FFCd5KbPcBEO2aj1YKthqj%2FFaDtjn82gOs3lF%2FMNBJHWpsGFvAq7K2rQtFzi%2Bcn5TwHatO%2BgSyzxxIa8CSp7OXfCFR9J%2BKC5A35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=86506888954&catId=50001438
[국내매장판] 나이키 농구화 농민화 조던 맥스 아우라 2 화이트 짐레드 CK6636 102,"83,000원",https://cr.shopping.naver.com/adcr?x=Hl3HjtbN%2BE8kY%2F5QvYMxOP%2F%2F%2Fw%3D%3Ds9CM5Hcr7SHHAoww%2B63lUAxCmE9Q%2BgaVeIqJ2DZs%2FfAlGvCJ5VDo0OkZfWBPRmILmUhONgG7ULn6HccMOt08WpcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmPiDyyV4X9O0QNdDJymink8BmcBQT%2Bdma3UX%2BNmiGYbPZsh2scoMUE6fd%2Bg9jZiQyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF3k4tz8Pq8fdcNbU1gHdKPoZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FcAkC5RMRevqWY6s4T%2F%2F0fD9u6pUwhJQjJcuaMDDI2SZ6WeZGNkZYbW5x1irENPzDFEnoFZtzNzq%2B7c9uNVGJlCMHn7BDBNaqXNmoKbAeTMv01uJnEHjhE4cGAtV57F%2BkTO1sD8LEjHZhwmNCm4ycC9HwJThB6Pvfa2It1GJqttstD28cr4gzZZ2J7Ytt0SBC69xyhJ%2BO4FQTUulTtq7d3GgrfMU%2FkbIHub2Ixi82Ik4QKoWC1aJ%2FrHOxV7w5T4WHdo%2FACNPkA2mRag1zZFjRjLpfFN%2BtwHrRiwgjeMn%2FQCGD%2B1GzYyCQAVsDO6ulMSblpOHjpeMcPPT%2Bx5ebRcf2LQhGZhw5Y6gBzz9W4dUJsvnywIQ84suaer2Ig%2BTFvpJmoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=88336423891&catId=50001438
국내발송 나이키 자모란트 JA3 EP -맥스 볼륨 자3 농구화 HF2794-600,"165,000원",https://cr.shopping.naver.com/adcr?x=U3driMbx5Rknfl0nr%2FJ88P%2F%2F%2Fw%3D%3Dsj4KrvzYf1Pa5y%2FjzphCrzlyHJyBZrO5TPb67dmmDFQxGvCJ5VDo0OkZfWBPRmILmkUf3Bex6TMv%2FmhYy6pf%2FPcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmPiDyyV4X9O0QNdDJymink8BmcBQT%2Bdma3UX%2BNmiGYbPZsh2scoMUE6fd%2Bg9jZiQyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1tuHELLE6KrP02y%2B4FUTBMZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FQ9OY2UVaurFdYOhozdwAsnBxMQTDJSfwMU603Xb%2B58V3cjQrMzneG21QgpXFgvQyQ%2B839xH%2BH7fax5iYZ4%2Bb1np%2BWgLGvZiZkHmgOfnw6DoNyPB4NiFpilZS2y3WxJ496nIqta74k%2FZMbqA6xameoreFkYu4QFEPDN2FnOs%2FQUqvAqvrM6YNOkLel3IfnW51mfcBchMYqJCl6IpE1L1555Y%2B5L5VeMPYgPW3fWIDy4va%2BFViLjNp%2FFiADU3QSAB608AehojS9Fh%2FapOOxtjTeTkTSKEsM7aV5KGncmScb6WaZl5QUVb60Rs4eOgLBZLU41eXJvCC%2BYflM%2BD9fXWeLZvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=89885900089&catId=50001438
[국내매장판] 나이키 조던 맥스 아우라 2 GS 주니어 농구화 CN8094 006 102,"64,000원",https://cr.shopping.naver.com/adcr?x=X%2Bb2iBE9HCCjZtQfbYKe8%2F%2F%2F%2Fw%3D%3DsKDX%2BtbMq5yOeouHVC9Rdw8GC3XPWwbBzus2AyaEyx99SiI%2FBjfMI9uWTKe765FvF1Din58TUDDc%2BeGoZm34672g6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUxIstzGiatq8FUiURlENxebfgUNvhKikBxtfbhUT%2FUAId1uhfjIbhaL1mPJmTRj8NRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY4OjztCGsPI6r6eyB3he1bIQ1pu9SxBx9jmyq0tgSOnxCGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSekDwHZrpowcuynBHxccPqK7Veq7%2FBk0o%2BTcxPOhgqN8QQS44EW6Is%2BkRQBNsm4Gxv1Xai1Sug2JU8JNbtprXOxcJdEzXKZAsTRuKaylQdda28tyIGs2Qp6g6ONKcCaj8nR5f1WFEDSqumycbclrrgvWnlomZI281x12F6%2FduHzYA4AdQyzXn8D6SS94Xfrn3MbG20ZivU00fgnltIQ4Ab9OUwdk%2FMDELReYJOWVvcDSAOrB7Wa85Oljks5uWp121rxv%2BOCfkd5aGxKzYe4aKfzUP7UbNjIJABWwM7q6UxJuWx32o%2FOOe93OXl4YSfwdzZ429AggTL%2FpHkZhYtaOEUrF8FQkOevvM3LhSd6SOqcf1gqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=88523365172&catId=50001438
나이키 사브리나 3 EP 블루프린트 농구화 HF2882-400,"159,000원",https://cr.shopping.naver.com/adcr?x=ks8ooFfLdl1vKSq88GjWdv%2F%2F%2Fw%3D%3Ds6D2qmxpefiuhN5%2By%2BsnaOrHx9ZSSuSMES2RU46b3qbFGvCJ5VDo0OkZfWBPRmILmo6G%2BVszkBNyq3bQzRCPtWsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmPiDyyV4X9O0QNdDJymink8BmcBQT%2Bdma3UX%2BNmiGYbPZsh2scoMUE6fd%2Bg9jZiQyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF3BzNRQObD6x58qk7zXIuNbZznAAH%2FDJkgOxgHmnSf1jTForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FVt3%2FuKpndxTYSsKpaJaXvpatM6Keit3arqUkeGMJskK6WeZGNkZYbW5x1irENPzDNExguwEr%2BpVdnKUWTMCWjmMHn7BDBNaqXNmoKbAeTMvTHGfOI0cSPqS2zi5%2F%2BK8OMI4gnVd4ROfu0gwzKYDfsTBQF8K2Yf%2FX2CHfJf%2BXPL%2FAgc1vI5OIDQR1SDTNBnULe%2B4x5v97s5foVDQmEgLyeAqmRvz%2FdNdCJwJq8X5fGC1NDGCBudCft6iY88DY8HQvVXHP8MKQY9c5euLL7Npi7UE1vhL6ZZKBxOTmSlMqtu3TEnvrBOf1YV7%2BdeLHc0dJlaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=89861479831&catId=50001438
국내매장 나이키 코리아 르브론 NXXT 제니서스 EP 남자 농구화 HF0711-300,"58,500원",https://cr.shopping.naver.com/adcr?x=rmefwRL2pdD8W5Po8wA5Hf%2F%2F%2Fw%3D%3DsPMmFIgDcyQHSzlSpJj7Qeg1wBNxltraBAId9OGlWxJtSiI%2FBjfMI9uWTKe765FvFdJWkFtkxxSXQP0T12F40vGg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUxIstzGiatq8FUiURlENxebfgUNvhKikBxtfbhUT%2FUAId1uhfjIbhaL1mPJmTRj8NRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY4tYh%2B5iIHiU8T39%2BE1s%2By4Q1pu9SxBx9jmyq0tgSOnxCGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSesxo414YykEfjhSfJ5BDYbaRBLbBRhCgG2hp9iYea621QS44EW6Is%2BkRQBNsm4Gxv4mRDl1%2B1GJGAEZ9G3RctnRldNjrrOBEueRx%2B7i8Z0cvbK8xXXbUDP5g%2BSFldhzEwMa90wwr90ACPxT3S%2BhCHpkHyXlHXElAYK63%2BYeojYsVkt18NMCaqjhW1FoFlZ6tN8exuW2JefIHdGheNwittlyD%2FfPfaWCfQHi%2Bq%2Bcvaek1JKLAuA%2Fod0KDiQILrvNQwjMwCbyTg4IA1Updyb6%2FNYgP7UbNjIJABWwM7q6UxJuWg4ClIusKgPpNCUk20KGmHphMDBcyicvVwnKfbSCS5ZXNXW8k6fIV4fGd%2BJhLxmXOgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=89445998860&catId=50001438
[국내매장판] 나이키 농구화 에어 조던 엑세스 브레드 검빨 블랙 화이트 AR3762 006,"79,000원",https://cr.shopping.naver.com/adcr?x=p6ZwDiBRSuyxmEUwUqys2%2F%2F%2F%2Fw%3D%3DsT1p2wmco3jrakSevWWNpOJc04YaZe86MsWYuk7sJlPXlCm6x%2BgQhd%2BxdDLc%2FHjPbrYVSBN0RDC1f28l5aWhoHTXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVuG1G%2BhRrF3GrJewYvSwBm7dqwa7oZuQ9oKxVpaD7hA6Rc6cnxzBJjCo2wG1gChi0hNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpWWefzssis9bhRYShpS8BukaIA0fHNTZTj2Cz6cCvkvfEnzOhRYj4Vpyh7LWp6ostBVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv7rixBncltVhSv%2FvhyvE3wZXdo1WJB914YcOU7fkIaWjYUYkjdRhQocJePamb%2Fq88e4UTHr0cDjfcii1RHz8lZduCX7qfKw3uLKVJPL7EEChMAUhzzbE8xkqE%2FH%2BRAFYiMEAm6qPvN3021qB%2Bqk7gK%2BNEzt9eagvLfnRsv6q1vlkrPEciNyU5lIGPLzM6pNbkonNj8Wh4a3V6EeM38qGlgjg32da%2FS2IidRHJbWX165dO7y3GKfbx7CMKQ3bNkuhBM77%2FLR02091TiwQgUgEOHlLUxB4DPs4sFsIuYo7tBWEa1jS8Ua1hwiaLnWMxworxsd27mRbtGTj3YFxlxXd9red5NAv6%2FUIpwSznblIAh1syDfYg6KO32aEj%2FwgHC%2F4z8tVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=85909540034&catId=50001438
(국내 매장판) 나이키 야니스 이모탈리티 3 EP DZ7534-100,"61,000원",https://cr.shopping.naver.com/adcr?x=k4fhE7j4PdDwrUAh%2Bodcnf%2F%2F%2Fw%3D%3Ds9jJAXVMeu0a0qJ7CMwo0mzeMhWGSecVox%2FbzENmPHmflCm6x%2BgQhd%2BxdDLc%2FHjPbMIRsKkI7BiyvODhycVnf9zXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVuG1G%2BhRrF3GrJewYvSwBm7dqwa7oZuQ9oKxVpaD7hA6Rc6cnxzBJjCo2wG1gChi0hNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpULt7p0hqqBPrL8QWqf2G%2FbxO%2FNKtzE2p%2Bw3UkDVcRebcQ6rdokiZlnBZhVWbnuXZrDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqmWXOMB5Bo9VT7VKdbR4kVZkbQDHwTvrStRhsx%2FHeA9RfF%2FpXGvkEo3dFOSf0iOLBvXNNu5f6qPNJAvWJiyqrQn23KEnkvm%2F8smOAotQnaruPdw2r3K5Kk979znBg7gnXBzrM0r6tNx5ZcYHgIZu0HEVJ17UK9r8mfB0tJDQPVVxmxqVZuwkycfeKV2JyjIdaZA7WdMHMW8zIe80LdpA104ItxgwL2EzM9FHih%2FTGYITM%2Ff5u%2FHz65cTS8TAZX78XXR9INs9ZpxiOekV5%2FkbMXHagqoLqFTlJ67sIvUDxoCa2xQcXGNYMhGJIDJP3jKNPNU12bGdyvLhgivL7PJ5IK2FbDf4gHI5rSMJU1BWcIOg&nvMid=88310405485&catId=50001438
